complex_id,sample_id,source,protein_path,ligand_path,processed_path,num_pocket_atoms_8A,num_rgroups,num_valid_rgroups,num_single_anchor_rgroups,scaffold_success,basic_clash_screen_pass,recommended_check_priority,manual_check_status,manual_notes
complex_crossdocked_000001,complex_crossdocked_000001,crossdocked_subset,/home/lyj/mnt/project/clash2feedback_gc/data/raw_complexes/complex_crossdocked_000001/protein.pdb,/home/lyj/mnt/project/clash2feedback_gc/data/raw_complexes/complex_crossdocked_000001/ligand.sdf,/home/lyj/mnt/project/clash2feedback_gc/data/processed/v0_1/complexes/complex_crossdocked_000001.pkl,119,8,2,8,True,True,high,unchecked,
complex_crossdocked_000002,complex_crossdocked_000002,crossdocked_subset,/home/lyj/mnt/project/clash2feedback_gc/data/raw_complexes/complex_crossdocked_000002/protein.pdb,/home/lyj/mnt/project/clash2feedback_gc/data/raw_complexes/complex_crossdocked_000002/ligand.sdf,/home/lyj/mnt/project/clash2feedback_gc/data/processed/v0_1/complexes/complex_crossdocked_000002.pkl,157,8,2,8,True,True,high,unchecked,
complex_crossdocked_000003,complex_crossdocked_000003,crossdocked_subset,/home/lyj/mnt/project/clash2feedback_gc/data/raw_complexes/complex_crossdocked_000003/protein.pdb,/home/lyj/mnt/project/clash2feedback_gc/data/raw_complexes/complex_crossdocked_000003/ligand.sdf,/home/lyj/mnt/project/clash2feedback_gc/data/processed/v0_1/complexes/complex_crossdocked_000003.pkl,165,8,2,8,True,True,high,unchecked,
complex_crossdocked_000004,complex_crossdocked_000004,crossdocked_subset,/home/lyj/mnt/project/clash2feedback_gc/data/raw_complexes/complex_crossdocked_000004/protein.pdb,/home/lyj/mnt/project/clash2feedback_gc/data/raw_complexes/complex_crossdocked_000004/ligand.sdf,/home/lyj/mnt/project/clash2feedback_gc/data/processed/v0_1/complexes/complex_crossdocked_000004.pkl,179,8,2,8,True,True,high,unchecked,
complex_crossdocked_000005,complex_crossdocked_000005,crossdocked_subset,/home/lyj/mnt/project/clash2feedback_gc/data/raw_complexes/complex_crossdocked_000005/protein.pdb,/home/lyj/mnt/project/clash2feedback_gc/data/raw_complexes/complex_crossdocked_000005/ligand.sdf,/home/lyj/mnt/project/clash2feedback_gc/data/processed/v0_1/complexes/complex_crossdocked_000005.pkl,151,8,2,8,True,True,high,unchecked,
complex_crossdocked_000006,complex_crossdocked_000006,crossdocked_subset,/home/lyj/mnt/project/clash2feedback_gc/data/raw_complexes/complex_crossdocked_000006/protein.pdb,/home/lyj/mnt/project/clash2feedback_gc/data/raw_complexes/complex_crossdocked_000006/ligand.sdf,/home/lyj/mnt/project/clash2feedback_gc/data/processed/v0_1/complexes/complex_crossdocked_000006.pkl,162,8,2,8,True,True,high,unchecked,
complex_crossdocked_000007,complex_crossdocked_000007,crossdocked_subset,/home/lyj/mnt/project/clash2feedback_gc/data/raw_complexes/complex_crossdocked_000007/protein.pdb,/home/lyj/mnt/project/clash2feedback_gc/data/raw_complexes/complex_crossdocked_000007/ligand.sdf,/home/lyj/mnt/project/clash2feedback_gc/data/processed/v0_1/complexes/complex_crossdocked_000007.pkl,155,8,2,8,True,True,high,unchecked,
complex_crossdocked_000008,complex_crossdocked_000008,crossdocked_subset,/home/lyj/mnt/project/clash2feedback_gc/data/raw_complexes/complex_crossdocked_000008/protein.pdb,/home/lyj/mnt/project/clash2feedback_gc/data/raw_complexes/complex_crossdocked_000008/ligand.sdf,/home/lyj/mnt/project/clash2feedback_gc/data/processed/v0_1/complexes/complex_crossdocked_000008.pkl,162,8,2,8,True,True,high,unchecked,
complex_crossdocked_000009,complex_crossdocked_000009,crossdocked_subset,/home/lyj/mnt/project/clash2feedback_gc/data/raw_complexes/complex_crossdocked_000009/protein.pdb,/home/lyj/mnt/project/clash2feedback_gc/data/raw_complexes/complex_crossdocked_000009/ligand.sdf,/home/lyj/mnt/project/clash2feedback_gc/data/processed/v0_1/complexes/complex_crossdocked_000009.pkl,159,8,2,8,True,True,high,unchecked,
complex_crossdocked_000010,complex_crossdocked_000010,crossdocked_subset,/home/lyj/mnt/project/clash2feedback_gc/data/raw_complexes/complex_crossdocked_000010/protein.pdb,/home/lyj/mnt/project/clash2feedback_gc/data/raw_complexes/complex_crossdocked_000010/ligand.sdf,/home/lyj/mnt/project/clash2feedback_gc/data/processed/v0_1/complexes/complex_crossdocked_000010.pkl,165,8,2,8,True,True,high,unchecked,
complex_crossdocked_000011,complex_crossdocked_000011,crossdocked_subset,/home/lyj/mnt/project/clash2feedback_gc/data/raw_complexes/complex_crossdocked_000011/protein.pdb,/home/lyj/mnt/project/clash2feedback_gc/data/raw_complexes/complex_crossdocked_000011/ligand.sdf,/home/lyj/mnt/project/clash2feedback_gc/data/processed/v0_1/complexes/complex_crossdocked_000011.pkl,162,8,2,8,True,True,high,unchecked,
complex_crossdocked_000012,complex_crossdocked_000012,crossdocked_subset,/home/lyj/mnt/project/clash2feedback_gc/data/raw_complexes/complex_crossdocked_000012/protein.pdb,/home/lyj/mnt/project/clash2feedback_gc/data/raw_complexes/complex_crossdocked_000012/ligand.sdf,/home/lyj/mnt/project/clash2feedback_gc/data/processed/v0_1/complexes/complex_crossdocked_000012.pkl,135,8,2,8,True,True,high,unchecked,
complex_crossdocked_000013,complex_crossdocked_000013,crossdocked_subset,/home/lyj/mnt/project/clash2feedback_gc/data/raw_complexes/complex_crossdocked_000013/protein.pdb,/home/lyj/mnt/project/clash2feedback_gc/data/raw_complexes/complex_crossdocked_000013/ligand.sdf,/home/lyj/mnt/project/clash2feedback_gc/data/processed/v0_1/complexes/complex_crossdocked_000013.pkl,170,8,2,8,True,True,high,unchecked,
complex_crossdocked_000014,complex_crossdocked_000014,crossdocked_subset,/home/lyj/mnt/project/clash2feedback_gc/data/raw_complexes/complex_crossdocked_000014/protein.pdb,/home/lyj/mnt/project/clash2feedback_gc/data/raw_complexes/complex_crossdocked_000014/ligand.sdf,/home/lyj/mnt/project/clash2feedback_gc/data/processed/v0_1/complexes/complex_crossdocked_000014.pkl,179,8,2,8,True,True,high,unchecked,
complex_crossdocked_000015,complex_crossdocked_000015,crossdocked_subset,/home/lyj/mnt/project/clash2feedback_gc/data/raw_complexes/complex_crossdocked_000015/protein.pdb,/home/lyj/mnt/project/clash2feedback_gc/data/raw_complexes/complex_crossdocked_000015/ligand.sdf,/home/lyj/mnt/project/clash2feedback_gc/data/processed/v0_1/complexes/complex_crossdocked_000015.pkl,186,8,2,8,True,True,high,unchecked,
complex_crossdocked_000016,complex_crossdocked_000016,crossdocked_subset,/home/lyj/mnt/project/clash2feedback_gc/data/raw_complexes/complex_crossdocked_000016/protein.pdb,/home/lyj/mnt/project/clash2feedback_gc/data/raw_complexes/complex_crossdocked_000016/ligand.sdf,/home/lyj/mnt/project/clash2feedback_gc/data/processed/v0_1/complexes/complex_crossdocked_000016.pkl,186,8,2,8,True,True,high,unchecked,
complex_crossdocked_000026,complex_crossdocked_000026,crossdocked_subset,/home/lyj/mnt/project/clash2feedback_gc/data/raw_complexes/complex_crossdocked_000026/protein.pdb,/home/lyj/mnt/project/clash2feedback_gc/data/raw_complexes/complex_crossdocked_000026/ligand.sdf,/home/lyj/mnt/project/clash2feedback_gc/data/processed/v0_1/complexes/complex_crossdocked_000026.pkl,291,8,2,8,True,True,high,unchecked,
complex_crossdocked_000027,complex_crossdocked_000027,crossdocked_subset,/home/lyj/mnt/project/clash2feedback_gc/data/raw_complexes/complex_crossdocked_000027/protein.pdb,/home/lyj/mnt/project/clash2feedback_gc/data/raw_complexes/complex_crossdocked_000027/ligand.sdf,/home/lyj/mnt/project/clash2feedback_gc/data/processed/v0_1/complexes/complex_crossdocked_000027.pkl,369,8,2,8,True,True,high,unchecked,
complex_crossdocked_000028,complex_crossdocked_000028,crossdocked_subset,/home/lyj/mnt/project/clash2feedback_gc/data/raw_complexes/complex_crossdocked_000028/protein.pdb,/home/lyj/mnt/project/clash2feedback_gc/data/raw_complexes/complex_crossdocked_000028/ligand.sdf,/home/lyj/mnt/project/clash2feedback_gc/data/processed/v0_1/complexes/complex_crossdocked_000028.pkl,299,8,2,8,True,True,high,unchecked,
complex_crossdocked_000029,complex_crossdocked_000029,crossdocked_subset,/home/lyj/mnt/project/clash2feedback_gc/data/raw_complexes/complex_crossdocked_000029/protein.pdb,/home/lyj/mnt/project/clash2feedback_gc/data/raw_complexes/complex_crossdocked_000029/ligand.sdf,/home/lyj/mnt/project/clash2feedback_gc/data/processed/v0_1/complexes/complex_crossdocked_000029.pkl,481,5,2,5,True,True,high,unchecked,
complex_crossdocked_000030,complex_crossdocked_000030,crossdocked_subset,/home/lyj/mnt/project/clash2feedback_gc/data/raw_complexes/complex_crossdocked_000030/protein.pdb,/home/lyj/mnt/project/clash2feedback_gc/data/raw_complexes/complex_crossdocked_000030/ligand.sdf,/home/lyj/mnt/project/clash2feedback_gc/data/processed/v0_1/complexes/complex_crossdocked_000030.pkl,482,5,2,5,True,True,high,unchecked,
complex_diffsbdd_5ndu,complex_diffsbdd_5ndu,diffsbdd_example,/home/lyj/mnt/project/clash2feedback_gc/data/raw_complexes/complex_diffsbdd_5ndu/protein.pdb,/home/lyj/mnt/project/clash2feedback_gc/data/raw_complexes/complex_diffsbdd_5ndu/ligand.sdf,/home/lyj/mnt/project/clash2feedback_gc/data/processed/v0_1/complexes/complex_diffsbdd_5ndu.pkl,530,38,2,38,True,True,high,unchecked,
complex_crossdocked_000017,complex_crossdocked_000017,crossdocked_subset,/home/lyj/mnt/project/clash2feedback_gc/data/raw_complexes/complex_crossdocked_000017/protein.pdb,/home/lyj/mnt/project/clash2feedback_gc/data/raw_complexes/complex_crossdocked_000017/ligand.sdf,/home/lyj/mnt/project/clash2feedback_gc/data/processed/v0_1/complexes/complex_crossdocked_000017.pkl,491,3,3,3,True,True,medium,unchecked,
complex_crossdocked_000018,complex_crossdocked_000018,crossdocked_subset,/home/lyj/mnt/project/clash2feedback_gc/data/raw_complexes/complex_crossdocked_000018/protein.pdb,/home/lyj/mnt/project/clash2feedback_gc/data/raw_complexes/complex_crossdocked_000018/ligand.sdf,/home/lyj/mnt/project/clash2feedback_gc/data/processed/v0_1/complexes/complex_crossdocked_000018.pkl,540,3,3,3,True,True,medium,unchecked,
complex_crossdocked_000019,complex_crossdocked_000019,crossdocked_subset,/home/lyj/mnt/project/clash2feedback_gc/data/raw_complexes/complex_crossdocked_000019/protein.pdb,/home/lyj/mnt/project/clash2feedback_gc/data/raw_complexes/complex_crossdocked_000019/ligand.sdf,/home/lyj/mnt/project/clash2feedback_gc/data/processed/v0_1/complexes/complex_crossdocked_000019.pkl,515,3,3,3,True,True,medium,unchecked,
complex_crossdocked_000020,complex_crossdocked_000020,crossdocked_subset,/home/lyj/mnt/project/clash2feedback_gc/data/raw_complexes/complex_crossdocked_000020/protein.pdb,/home/lyj/mnt/project/clash2feedback_gc/data/raw_complexes/complex_crossdocked_000020/ligand.sdf,/home/lyj/mnt/project/clash2feedback_gc/data/processed/v0_1/complexes/complex_crossdocked_000020.pkl,483,3,3,3,True,True,medium,unchecked,
complex_crossdocked_000031,complex_crossdocked_000031,crossdocked_subset,/home/lyj/mnt/project/clash2feedback_gc/data/raw_complexes/complex_crossdocked_000031/protein.pdb,/home/lyj/mnt/project/clash2feedback_gc/data/raw_complexes/complex_crossdocked_000031/ligand.sdf,/home/lyj/mnt/project/clash2feedback_gc/data/processed/v0_1/complexes/complex_crossdocked_000031.pkl,381,4,3,4,True,True,medium,unchecked,
complex_crossdocked_000032,complex_crossdocked_000032,crossdocked_subset,/home/lyj/mnt/project/clash2feedback_gc/data/raw_complexes/complex_crossdocked_000032/protein.pdb,/home/lyj/mnt/project/clash2feedback_gc/data/raw_complexes/complex_crossdocked_000032/ligand.sdf,/home/lyj/mnt/project/clash2feedback_gc/data/processed/v0_1/complexes/complex_crossdocked_000032.pkl,420,4,3,4,True,True,medium,unchecked,
complex_crossdocked_000033,complex_crossdocked_000033,crossdocked_subset,/home/lyj/mnt/project/clash2feedback_gc/data/raw_complexes/complex_crossdocked_000033/protein.pdb,/home/lyj/mnt/project/clash2feedback_gc/data/raw_complexes/complex_crossdocked_000033/ligand.sdf,/home/lyj/mnt/project/clash2feedback_gc/data/processed/v0_1/complexes/complex_crossdocked_000033.pkl,397,4,3,4,True,True,medium,unchecked,
complex_crossdocked_000034,complex_crossdocked_000034,crossdocked_subset,/home/lyj/mnt/project/clash2feedback_gc/data/raw_complexes/complex_crossdocked_000034/protein.pdb,/home/lyj/mnt/project/clash2feedback_gc/data/raw_complexes/complex_crossdocked_000034/ligand.sdf,/home/lyj/mnt/project/clash2feedback_gc/data/processed/v0_1/complexes/complex_crossdocked_000034.pkl,442,5,3,5,True,True,medium,unchecked,
complex_crossdocked_000035,complex_crossdocked_000035,crossdocked_subset,/home/lyj/mnt/project/clash2feedback_gc/data/raw_complexes/complex_crossdocked_000035/protein.pdb,/home/lyj/mnt/project/clash2feedback_gc/data/raw_complexes/complex_crossdocked_000035/ligand.sdf,/home/lyj/mnt/project/clash2feedback_gc/data/processed/v0_1/complexes/complex_crossdocked_000035.pkl,420,4,3,4,True,True,medium,unchecked,
complex_crossdocked_000036,complex_crossdocked_000036,crossdocked_subset,/home/lyj/mnt/project/clash2feedback_gc/data/raw_complexes/complex_crossdocked_000036/protein.pdb,/home/lyj/mnt/project/clash2feedback_gc/data/raw_complexes/complex_crossdocked_000036/ligand.sdf,/home/lyj/mnt/project/clash2feedback_gc/data/processed/v0_1/complexes/complex_crossdocked_000036.pkl,420,4,3,4,True,True,medium,unchecked,
complex_crossdocked_000037,complex_crossdocked_000037,crossdocked_subset,/home/lyj/mnt/project/clash2feedback_gc/data/raw_complexes/complex_crossdocked_000037/protein.pdb,/home/lyj/mnt/project/clash2feedback_gc/data/raw_complexes/complex_crossdocked_000037/ligand.sdf,/home/lyj/mnt/project/clash2feedback_gc/data/processed/v0_1/complexes/complex_crossdocked_000037.pkl,431,5,3,5,True,True,medium,unchecked,
complex_crossdocked_000038,complex_crossdocked_000038,crossdocked_subset,/home/lyj/mnt/project/clash2feedback_gc/data/raw_complexes/complex_crossdocked_000038/protein.pdb,/home/lyj/mnt/project/clash2feedback_gc/data/raw_complexes/complex_crossdocked_000038/ligand.sdf,/home/lyj/mnt/project/clash2feedback_gc/data/processed/v0_1/complexes/complex_crossdocked_000038.pkl,393,4,3,4,True,True,medium,unchecked,
complex_crossdocked_000039,complex_crossdocked_000039,crossdocked_subset,/home/lyj/mnt/project/clash2feedback_gc/data/raw_complexes/complex_crossdocked_000039/protein.pdb,/home/lyj/mnt/project/clash2feedback_gc/data/raw_complexes/complex_crossdocked_000039/ligand.sdf,/home/lyj/mnt/project/clash2feedback_gc/data/processed/v0_1/complexes/complex_crossdocked_000039.pkl,404,4,3,4,True,True,medium,unchecked,
complex_crossdocked_000040,complex_crossdocked_000040,crossdocked_subset,/home/lyj/mnt/project/clash2feedback_gc/data/raw_complexes/complex_crossdocked_000040/protein.pdb,/home/lyj/mnt/project/clash2feedback_gc/data/raw_complexes/complex_crossdocked_000040/ligand.sdf,/home/lyj/mnt/project/clash2feedback_gc/data/processed/v0_1/complexes/complex_crossdocked_000040.pkl,402,4,3,4,True,True,medium,unchecked,
complex_crossdocked_000041,complex_crossdocked_000041,crossdocked_subset,/home/lyj/mnt/project/clash2feedback_gc/data/raw_complexes/complex_crossdocked_000041/protein.pdb,/home/lyj/mnt/project/clash2feedback_gc/data/raw_complexes/complex_crossdocked_000041/ligand.sdf,/home/lyj/mnt/project/clash2feedback_gc/data/processed/v0_1/complexes/complex_crossdocked_000041.pkl,431,5,3,5,True,True,medium,unchecked,
complex_crossdocked_000042,complex_crossdocked_000042,crossdocked_subset,/home/lyj/mnt/project/clash2feedback_gc/data/raw_complexes/complex_crossdocked_000042/protein.pdb,/home/lyj/mnt/project/clash2feedback_gc/data/raw_complexes/complex_crossdocked_000042/ligand.sdf,/home/lyj/mnt/project/clash2feedback_gc/data/processed/v0_1/complexes/complex_crossdocked_000042.pkl,395,5,3,5,True,True,medium,unchecked,
complex_crossdocked_000043,complex_crossdocked_000043,crossdocked_subset,/home/lyj/mnt/project/clash2feedback_gc/data/raw_complexes/complex_crossdocked_000043/protein.pdb,/home/lyj/mnt/project/clash2feedback_gc/data/raw_complexes/complex_crossdocked_000043/ligand.sdf,/home/lyj/mnt/project/clash2feedback_gc/data/processed/v0_1/complexes/complex_crossdocked_000043.pkl,445,5,3,5,True,True,medium,unchecked,
complex_crossdocked_000044,complex_crossdocked_000044,crossdocked_subset,/home/lyj/mnt/project/clash2feedback_gc/data/raw_complexes/complex_crossdocked_000044/protein.pdb,/home/lyj/mnt/project/clash2feedback_gc/data/raw_complexes/complex_crossdocked_000044/ligand.sdf,/home/lyj/mnt/project/clash2feedback_gc/data/processed/v0_1/complexes/complex_crossdocked_000044.pkl,404,5,3,5,True,True,medium,unchecked,
complex_crossdocked_000045,complex_crossdocked_000045,crossdocked_subset,/home/lyj/mnt/project/clash2feedback_gc/data/raw_complexes/complex_crossdocked_000045/protein.pdb,/home/lyj/mnt/project/clash2feedback_gc/data/raw_complexes/complex_crossdocked_000045/ligand.sdf,/home/lyj/mnt/project/clash2feedback_gc/data/processed/v0_1/complexes/complex_crossdocked_000045.pkl,422,5,3,5,True,True,medium,unchecked,
complex_crossdocked_000046,complex_crossdocked_000046,crossdocked_subset,/home/lyj/mnt/project/clash2feedback_gc/data/raw_complexes/complex_crossdocked_000046/protein.pdb,/home/lyj/mnt/project/clash2feedback_gc/data/raw_complexes/complex_crossdocked_000046/ligand.sdf,/home/lyj/mnt/project/clash2feedback_gc/data/processed/v0_1/complexes/complex_crossdocked_000046.pkl,431,5,3,5,True,True,medium,unchecked,
complex_crossdocked_000047,complex_crossdocked_000047,crossdocked_subset,/home/lyj/mnt/project/clash2feedback_gc/data/raw_complexes/complex_crossdocked_000047/protein.pdb,/home/lyj/mnt/project/clash2feedback_gc/data/raw_complexes/complex_crossdocked_000047/ligand.sdf,/home/lyj/mnt/project/clash2feedback_gc/data/processed/v0_1/complexes/complex_crossdocked_000047.pkl,404,4,3,4,True,True,medium,unchecked,
complex_crossdocked_000048,complex_crossdocked_000048,crossdocked_subset,/home/lyj/mnt/project/clash2feedback_gc/data/raw_complexes/complex_crossdocked_000048/protein.pdb,/home/lyj/mnt/project/clash2feedback_gc/data/raw_complexes/complex_crossdocked_000048/ligand.sdf,/home/lyj/mnt/project/clash2feedback_gc/data/processed/v0_1/complexes/complex_crossdocked_000048.pkl,306,7,3,7,True,True,medium,unchecked,
complex_crossdocked_000049,complex_crossdocked_000049,crossdocked_subset,/home/lyj/mnt/project/clash2feedback_gc/data/raw_complexes/complex_crossdocked_000049/protein.pdb,/home/lyj/mnt/project/clash2feedback_gc/data/raw_complexes/complex_crossdocked_000049/ligand.sdf,/home/lyj/mnt/project/clash2feedback_gc/data/processed/v0_1/complexes/complex_crossdocked_000049.pkl,315,7,3,7,True,True,medium,unchecked,
complex_crossdocked_000021,complex_crossdocked_000021,crossdocked_subset,/home/lyj/mnt/project/clash2feedback_gc/data/raw_complexes/complex_crossdocked_000021/protein.pdb,/home/lyj/mnt/project/clash2feedback_gc/data/raw_complexes/complex_crossdocked_000021/ligand.sdf,/home/lyj/mnt/project/clash2feedback_gc/data/processed/v0_1/complexes/complex_crossdocked_000021.pkl,349,6,6,6,True,True,low,unchecked,
complex_crossdocked_000022,complex_crossdocked_000022,crossdocked_subset,/home/lyj/mnt/project/clash2feedback_gc/data/raw_complexes/complex_crossdocked_000022/protein.pdb,/home/lyj/mnt/project/clash2feedback_gc/data/raw_complexes/complex_crossdocked_000022/ligand.sdf,/home/lyj/mnt/project/clash2feedback_gc/data/processed/v0_1/complexes/complex_crossdocked_000022.pkl,334,6,5,6,True,True,low,unchecked,
complex_crossdocked_000023,complex_crossdocked_000023,crossdocked_subset,/home/lyj/mnt/project/clash2feedback_gc/data/raw_complexes/complex_crossdocked_000023/protein.pdb,/home/lyj/mnt/project/clash2feedback_gc/data/raw_complexes/complex_crossdocked_000023/ligand.sdf,/home/lyj/mnt/project/clash2feedback_gc/data/processed/v0_1/complexes/complex_crossdocked_000023.pkl,400,6,6,6,True,True,low,unchecked,
complex_crossdocked_000024,complex_crossdocked_000024,crossdocked_subset,/home/lyj/mnt/project/clash2feedback_gc/data/raw_complexes/complex_crossdocked_000024/protein.pdb,/home/lyj/mnt/project/clash2feedback_gc/data/raw_complexes/complex_crossdocked_000024/ligand.sdf,/home/lyj/mnt/project/clash2feedback_gc/data/processed/v0_1/complexes/complex_crossdocked_000024.pkl,337,6,5,6,True,True,low,unchecked,
complex_crossdocked_000025,complex_crossdocked_000025,crossdocked_subset,/home/lyj/mnt/project/clash2feedback_gc/data/raw_complexes/complex_crossdocked_000025/protein.pdb,/home/lyj/mnt/project/clash2feedback_gc/data/raw_complexes/complex_crossdocked_000025/ligand.sdf,/home/lyj/mnt/project/clash2feedback_gc/data/processed/v0_1/complexes/complex_crossdocked_000025.pkl,368,6,6,6,True,True,low,unchecked,
complex_crossdocked_000050,complex_crossdocked_000050,crossdocked_subset,/home/lyj/mnt/project/clash2feedback_gc/data/raw_complexes/complex_crossdocked_000050/protein.pdb,/home/lyj/mnt/project/clash2feedback_gc/data/raw_complexes/complex_crossdocked_000050/ligand.sdf,/home/lyj/mnt/project/clash2feedback_gc/data/processed/v0_1/complexes/complex_crossdocked_000050.pkl,357,7,4,7,True,True,low,unchecked,
