case_id,oracle_mask_size,predicted_mask_size,random_mask_size,abs_size_diff_random_vs_oracle,abs_size_diff_random_vs_predicted,random_mask_fallback_reason,injection_mode,difficulty_bin,base_split
case_000041,2,2,2,0,0,primary_exclude_oracle_and_predicted,easy_rotation,easy,test
case_000048,2,2,2,0,0,primary_exclude_oracle_and_predicted,directed_clash,easy,test
case_000059,2,2,2,0,0,primary_exclude_oracle_and_predicted,easy_rotation,easy,test
case_000095,2,2,2,0,0,primary_exclude_oracle_and_predicted,easy_rotation,easy,test
case_000102,2,2,2,0,0,primary_exclude_oracle_and_predicted,directed_clash,easy,test
case_000109,2,2,2,0,0,primary_exclude_oracle_and_predicted,easy_rotation,easy,test
case_000120,2,2,2,0,0,primary_exclude_oracle_and_predicted,directed_clash,easy,test
case_000163,2,2,2,0,0,primary_exclude_oracle_and_predicted,easy_rotation,easy,test
case_000202,2,2,2,0,0,primary_exclude_oracle_and_predicted,easy_rotation,easy,test
case_000210,2,2,2,0,0,primary_exclude_oracle_and_predicted,directed_clash,easy,test
case_000227,2,2,2,0,0,primary_exclude_oracle_and_predicted,directed_clash,easy,test
case_000238,2,2,2,0,0,primary_exclude_oracle_and_predicted,easy_rotation,easy,test
case_000239,2,2,2,0,0,primary_exclude_oracle_and_predicted,easy_rotation,easy,test
case_000245,2,2,2,0,0,primary_exclude_oracle_and_predicted,directed_clash,medium,test
case_000310,2,2,2,0,0,primary_exclude_oracle_and_predicted,easy_rotation,easy,test
case_000329,2,2,2,0,0,primary_exclude_oracle_and_predicted,easy_rotation,easy,test
case_000347,2,2,2,0,0,primary_exclude_oracle_and_predicted,easy_rotation,easy,test
case_000365,2,2,2,0,0,primary_exclude_oracle_and_predicted,easy_rotation,easy,test
case_000372,2,2,2,0,0,primary_exclude_oracle_and_predicted,directed_clash,easy,test
case_000382,2,2,2,0,0,primary_exclude_oracle_and_predicted,easy_rotation,easy,test
case_000469,2,2,2,0,0,primary_exclude_oracle_and_predicted,easy_rotation,easy,test
case_000480,2,2,2,0,0,primary_exclude_oracle_and_predicted,directed_clash,easy,test
case_000509,2,2,2,0,0,primary_exclude_oracle_and_predicted,easy_rotation,easy,test
case_000545,2,2,2,0,0,primary_exclude_oracle_and_predicted,easy_rotation,easy,test
case_000552,2,2,2,0,0,primary_exclude_oracle_and_predicted,directed_clash,easy,test
case_000667,4,4,4,0,0,primary_exclude_oracle_and_predicted,easy_rotation,medium,train
case_000669,4,4,4,0,0,primary_exclude_oracle_and_predicted,easy_rotation,medium,train
case_000670,4,4,4,0,0,primary_exclude_oracle_and_predicted,easy_rotation,easy,train
case_000671,4,4,4,0,0,primary_exclude_oracle_and_predicted,easy_rotation,medium,train
case_000680,4,4,4,0,0,primary_exclude_oracle_and_predicted,directed_clash,medium,train
case_000681,4,4,4,0,0,primary_exclude_oracle_and_predicted,directed_clash,easy,train
case_000682,4,4,4,0,0,primary_exclude_oracle_and_predicted,directed_clash,easy,train
case_000683,4,4,4,0,0,primary_exclude_oracle_and_predicted,directed_clash,medium,train
case_000684,4,4,4,0,0,primary_exclude_oracle_and_predicted,directed_clash,easy,train
case_000703,4,4,4,0,0,primary_exclude_oracle_and_predicted,easy_rotation,medium,train
case_000705,4,4,4,0,0,primary_exclude_oracle_and_predicted,easy_rotation,medium,train
case_000707,4,4,4,0,0,primary_exclude_oracle_and_predicted,easy_rotation,medium,train
case_000716,4,4,4,0,0,primary_exclude_oracle_and_predicted,directed_clash,medium,train
case_000721,4,4,4,0,0,primary_exclude_oracle_and_predicted,easy_rotation,medium,train
case_000722,4,4,4,0,0,primary_exclude_oracle_and_predicted,easy_rotation,easy,train
case_000723,4,4,4,0,0,primary_exclude_oracle_and_predicted,easy_rotation,medium,train
case_000724,4,4,4,0,0,primary_exclude_oracle_and_predicted,easy_rotation,easy,train
case_000725,4,4,4,0,0,primary_exclude_oracle_and_predicted,easy_rotation,medium,train
case_000732,4,4,4,0,0,primary_exclude_oracle_and_predicted,directed_clash,medium,train
case_000733,4,4,4,0,0,primary_exclude_oracle_and_predicted,directed_clash,medium,train
case_000735,4,4,4,0,0,primary_exclude_oracle_and_predicted,directed_clash,medium,train
case_000738,4,4,4,0,0,primary_exclude_oracle_and_predicted,directed_clash,easy,train
case_000795,5,5,5,0,0,primary_exclude_oracle_and_predicted,easy_rotation,easy,test
case_000806,5,5,5,0,0,primary_exclude_oracle_and_predicted,directed_clash,easy,test
case_000818,5,5,5,0,0,primary_exclude_oracle_and_predicted,torsion_perturb,easy,test
case_000820,5,5,5,0,0,primary_exclude_oracle_and_predicted,torsion_perturb,easy,test
case_000822,5,5,5,0,0,primary_exclude_oracle_and_predicted,directed_clash,easy,test
case_000834,5,5,5,0,0,primary_exclude_oracle_and_predicted,torsion_perturb,easy,test
case_000836,5,5,5,0,0,primary_exclude_oracle_and_predicted,torsion_perturb,easy,test
case_000838,5,5,5,0,0,primary_exclude_oracle_and_predicted,torsion_perturb,easy,test
case_000852,5,5,5,0,0,primary_exclude_oracle_and_predicted,torsion_perturb,easy,test
case_000854,5,5,5,0,0,primary_exclude_oracle_and_predicted,torsion_perturb,easy,test
case_000856,5,5,5,0,0,primary_exclude_oracle_and_predicted,torsion_perturb,easy,test
case_000906,5,5,5,0,0,primary_exclude_oracle_and_predicted,torsion_perturb,easy,test
case_000908,5,5,5,0,0,primary_exclude_oracle_and_predicted,torsion_perturb,easy,test
case_000910,5,5,5,0,0,primary_exclude_oracle_and_predicted,torsion_perturb,easy,test
case_000923,5,5,5,0,0,primary_exclude_oracle_and_predicted,easy_rotation,easy,test
case_000936,5,5,5,0,0,primary_exclude_oracle_and_predicted,directed_clash,easy,test
case_000942,5,5,5,0,0,primary_exclude_oracle_and_predicted,torsion_perturb,easy,test
case_000944,5,5,5,0,0,primary_exclude_oracle_and_predicted,torsion_perturb,easy,test
case_000946,5,5,5,0,0,primary_exclude_oracle_and_predicted,torsion_perturb,easy,test
case_000948,5,5,5,0,0,primary_exclude_oracle_and_predicted,directed_clash,easy,test
case_000980,5,5,5,0,0,primary_exclude_oracle_and_predicted,torsion_perturb,easy,test
case_000982,5,5,5,0,0,primary_exclude_oracle_and_predicted,torsion_perturb,easy,test
case_000996,5,5,5,0,0,primary_exclude_oracle_and_predicted,torsion_perturb,easy,test
case_000998,5,5,5,0,0,primary_exclude_oracle_and_predicted,torsion_perturb,easy,test
case_001000,5,5,5,0,0,primary_exclude_oracle_and_predicted,torsion_perturb,easy,test
case_001001,5,5,5,0,0,primary_exclude_oracle_and_predicted,directed_clash,easy,test
case_001009,5,5,5,0,0,primary_exclude_oracle_and_predicted,easy_rotation,easy,test
case_001050,5,5,5,0,0,primary_exclude_oracle_and_predicted,torsion_perturb,easy,test
case_001052,5,5,5,0,0,primary_exclude_oracle_and_predicted,torsion_perturb,easy,test
case_001054,5,5,5,0,0,primary_exclude_oracle_and_predicted,torsion_perturb,easy,test
case_001055,5,5,5,0,0,primary_exclude_oracle_and_predicted,directed_clash,easy,test
case_001140,5,5,5,0,0,primary_exclude_oracle_and_predicted,torsion_perturb,easy,test
case_001142,5,5,5,0,0,primary_exclude_oracle_and_predicted,torsion_perturb,easy,test
case_001144,5,5,5,0,0,primary_exclude_oracle_and_predicted,torsion_perturb,easy,test
case_001176,5,5,5,0,0,primary_exclude_oracle_and_predicted,torsion_perturb,easy,test
case_001178,5,5,5,0,0,primary_exclude_oracle_and_predicted,torsion_perturb,easy,test
case_001180,5,5,5,0,0,primary_exclude_oracle_and_predicted,torsion_perturb,easy,test
case_001194,5,5,5,0,0,primary_exclude_oracle_and_predicted,torsion_perturb,easy,test
case_001196,5,5,5,0,0,primary_exclude_oracle_and_predicted,torsion_perturb,easy,test
case_001198,5,5,5,0,0,primary_exclude_oracle_and_predicted,torsion_perturb,easy,test
case_001212,5,5,5,0,0,primary_exclude_oracle_and_predicted,torsion_perturb,easy,test
case_001214,5,5,5,0,0,primary_exclude_oracle_and_predicted,torsion_perturb,easy,test
case_001216,5,5,5,0,0,primary_exclude_oracle_and_predicted,torsion_perturb,easy,test
case_001237,5,5,5,0,0,primary_exclude_oracle_and_predicted,directed_clash,medium,test
case_001238,5,5,5,0,0,primary_exclude_oracle_and_predicted,directed_clash,medium,test
case_001243,5,5,5,0,0,primary_exclude_oracle_and_predicted,easy_rotation,easy,test
case_001248,5,5,5,0,0,primary_exclude_oracle_and_predicted,torsion_perturb,easy,test
case_001250,5,5,5,0,0,primary_exclude_oracle_and_predicted,torsion_perturb,easy,test
case_001252,5,5,5,0,0,primary_exclude_oracle_and_predicted,torsion_perturb,easy,test
case_001254,5,5,5,0,0,primary_exclude_oracle_and_predicted,directed_clash,easy,test
case_001255,5,5,5,0,0,primary_exclude_oracle_and_predicted,directed_clash,easy,test
case_001266,5,5,5,0,0,primary_exclude_oracle_and_predicted,torsion_perturb,easy,test
case_001268,5,5,5,0,0,primary_exclude_oracle_and_predicted,torsion_perturb,easy,test
case_001270,5,5,5,0,0,primary_exclude_oracle_and_predicted,torsion_perturb,easy,test
case_001300,2,2,2,0,0,primary_exclude_oracle_and_predicted,easy_rotation,easy,val
case_001307,2,2,2,0,0,primary_exclude_oracle_and_predicted,directed_clash,easy,val
case_001308,2,2,2,0,0,primary_exclude_oracle_and_predicted,directed_clash,easy,val
case_001316,2,2,2,0,0,primary_exclude_oracle_and_predicted,easy_rotation,easy,val
case_001317,2,2,2,0,0,primary_exclude_oracle_and_predicted,easy_rotation,easy,val
case_001318,2,2,2,0,0,primary_exclude_oracle_and_predicted,easy_rotation,easy,val
case_001319,2,2,2,0,0,primary_exclude_oracle_and_predicted,easy_rotation,easy,val
case_001325,2,2,2,0,0,primary_exclude_oracle_and_predicted,directed_clash,medium,val
case_001353,2,2,2,0,0,primary_exclude_oracle_and_predicted,easy_rotation,easy,val
case_001354,2,2,2,0,0,primary_exclude_oracle_and_predicted,easy_rotation,easy,val
case_001355,2,2,2,0,0,primary_exclude_oracle_and_predicted,easy_rotation,easy,val
case_001362,2,2,2,0,0,primary_exclude_oracle_and_predicted,directed_clash,easy,val
case_001366,2,2,2,0,0,primary_exclude_oracle_and_predicted,directed_clash,easy,val
case_001379,2,2,2,0,0,primary_exclude_oracle_and_predicted,directed_clash,easy,val
case_001380,2,2,2,0,0,primary_exclude_oracle_and_predicted,directed_clash,easy,val
case_001389,2,2,2,0,0,primary_exclude_oracle_and_predicted,easy_rotation,easy,val
case_001390,2,2,2,0,0,primary_exclude_oracle_and_predicted,easy_rotation,easy,val
case_001397,2,2,2,0,0,primary_exclude_oracle_and_predicted,directed_clash,medium,val
case_001405,8,8,11,3,3,primary_exclude_oracle_and_predicted,easy_rotation,easy,train
case_001406,8,8,11,3,3,primary_exclude_oracle_and_predicted,easy_rotation,medium,train
case_001419,8,8,11,3,3,primary_exclude_oracle_and_predicted,directed_clash,medium,train
case_001422,8,8,11,3,3,primary_exclude_oracle_and_predicted,directed_clash,easy,train
case_001428,11,11,8,3,3,primary_exclude_oracle_and_predicted,torsion_perturb,easy,train
case_001429,11,11,8,3,3,primary_exclude_oracle_and_predicted,torsion_perturb,medium,train
case_001457,8,8,11,3,3,primary_exclude_oracle_and_predicted,directed_clash,medium,train
case_001464,11,11,8,3,3,primary_exclude_oracle_and_predicted,torsion_perturb,easy,train
case_001482,7,7,4,3,3,primary_exclude_oracle_and_predicted,torsion_perturb,easy,train
case_001483,7,7,4,3,3,primary_exclude_oracle_and_predicted,torsion_perturb,easy,train
case_001484,7,7,4,3,3,primary_exclude_oracle_and_predicted,torsion_perturb,medium,train
case_001485,7,7,4,3,3,primary_exclude_oracle_and_predicted,torsion_perturb,medium,train
case_001486,7,7,4,3,3,primary_exclude_oracle_and_predicted,torsion_perturb,easy,train
case_001515,4,4,2,2,2,primary_exclude_oracle_and_predicted,easy_rotation,medium,train
case_001516,4,4,2,2,2,primary_exclude_oracle_and_predicted,easy_rotation,medium,train
case_001517,4,4,2,2,2,primary_exclude_oracle_and_predicted,easy_rotation,easy,train
case_001523,4,4,2,2,2,primary_exclude_oracle_and_predicted,directed_clash,medium,train
case_001526,4,4,2,2,2,primary_exclude_oracle_and_predicted,directed_clash,medium,train
case_001527,4,4,2,2,2,primary_exclude_oracle_and_predicted,directed_clash,easy,train
case_001528,4,4,2,2,2,primary_exclude_oracle_and_predicted,directed_clash,easy,train
case_001536,7,7,4,3,3,primary_exclude_oracle_and_predicted,torsion_perturb,easy,train
case_001537,7,7,4,3,3,primary_exclude_oracle_and_predicted,torsion_perturb,easy,train
case_001538,7,7,4,3,3,primary_exclude_oracle_and_predicted,torsion_perturb,easy,train
case_001540,7,7,4,3,3,primary_exclude_oracle_and_predicted,torsion_perturb,easy,train
case_001542,7,7,4,3,3,primary_exclude_oracle_and_predicted,directed_clash,easy,train
case_001567,4,4,2,2,2,primary_exclude_oracle_and_predicted,easy_rotation,medium,train
case_001568,4,4,2,2,2,primary_exclude_oracle_and_predicted,easy_rotation,medium,train
case_001569,4,4,2,2,2,primary_exclude_oracle_and_predicted,easy_rotation,medium,train
case_001570,4,4,2,2,2,primary_exclude_oracle_and_predicted,easy_rotation,easy,train
case_001571,4,4,2,2,2,primary_exclude_oracle_and_predicted,easy_rotation,easy,train
case_001577,4,4,2,2,2,primary_exclude_oracle_and_predicted,directed_clash,medium,train
case_001579,4,4,2,2,2,primary_exclude_oracle_and_predicted,directed_clash,medium,train
case_001580,4,4,2,2,2,primary_exclude_oracle_and_predicted,directed_clash,medium,train
case_001583,4,4,2,2,2,primary_exclude_oracle_and_predicted,directed_clash,medium,train
case_001590,7,7,4,3,3,primary_exclude_oracle_and_predicted,torsion_perturb,easy,train
case_001591,7,7,4,3,3,primary_exclude_oracle_and_predicted,torsion_perturb,easy,train
case_001593,7,7,4,3,3,primary_exclude_oracle_and_predicted,torsion_perturb,easy,train
case_001622,4,4,2,2,2,primary_exclude_oracle_and_predicted,easy_rotation,easy,train
case_001624,4,4,2,2,2,primary_exclude_oracle_and_predicted,easy_rotation,easy,train
case_001625,4,4,2,2,2,primary_exclude_oracle_and_predicted,easy_rotation,easy,train
case_001633,4,4,2,2,2,primary_exclude_oracle_and_predicted,directed_clash,easy,train
case_001644,7,7,4,3,3,primary_exclude_oracle_and_predicted,torsion_perturb,easy,train
case_001646,7,7,4,3,3,primary_exclude_oracle_and_predicted,torsion_perturb,medium,train
case_001648,7,7,4,3,3,primary_exclude_oracle_and_predicted,torsion_perturb,easy,train
case_001650,7,7,4,3,3,primary_exclude_oracle_and_predicted,directed_clash,easy,train
case_001675,4,4,2,2,2,primary_exclude_oracle_and_predicted,easy_rotation,easy,train
case_001676,4,4,2,2,2,primary_exclude_oracle_and_predicted,easy_rotation,medium,train
case_001677,4,4,2,2,2,primary_exclude_oracle_and_predicted,easy_rotation,medium,train
case_001678,4,4,2,2,2,primary_exclude_oracle_and_predicted,easy_rotation,easy,train
case_001679,4,4,2,2,2,primary_exclude_oracle_and_predicted,easy_rotation,easy,train
case_001687,4,4,2,2,2,primary_exclude_oracle_and_predicted,directed_clash,medium,train
case_001688,4,4,2,2,2,primary_exclude_oracle_and_predicted,directed_clash,medium,train
case_001689,4,4,2,2,2,primary_exclude_oracle_and_predicted,directed_clash,medium,train
case_001692,4,4,2,2,2,primary_exclude_oracle_and_predicted,directed_clash,easy,train
case_001698,7,7,4,3,3,primary_exclude_oracle_and_predicted,torsion_perturb,easy,train
case_001699,7,7,4,3,3,primary_exclude_oracle_and_predicted,torsion_perturb,easy,train
case_001700,7,7,4,3,3,primary_exclude_oracle_and_predicted,torsion_perturb,easy,train
case_001701,7,7,4,3,3,primary_exclude_oracle_and_predicted,torsion_perturb,medium,train
case_001702,7,7,4,3,3,primary_exclude_oracle_and_predicted,torsion_perturb,easy,train
