candidate_budget_k,case_id,base_sample_id,candidate_count,reliable_candidate_count,sample_reliable_success,anchor_integrity_count,local_reconnect_pass_count,old_clash_resolved_count,no_new_severe_clash_count,top_failure_reason
8,case_002080,complex_crossdocked_000042,8,0,False,5,0,0,0,generated_atom_element_mismatch:old_atom=13:Z=7
8,case_001704,complex_crossdocked_000035,8,1,True,2,0,1,1,generated_atom_element_mismatch:old_atom=12:Z=7
8,case_002011,complex_crossdocked_000040,8,0,False,3,0,0,0,generated_atom_element_mismatch:old_atom=30:Z=8
8,case_001971,complex_crossdocked_000040,8,0,False,2,0,0,0,generated_atom_element_mismatch:old_atom=12:Z=7
8,case_001571,complex_crossdocked_000032,8,0,False,4,0,0,0,generated_atom_element_mismatch:old_atom=32:Z=9
8,case_000721,complex_crossdocked_000019,8,0,False,5,0,0,0,generated_atom_element_mismatch:old_atom=32:Z=8
8,case_001593,complex_crossdocked_000033,8,0,False,4,0,0,0,generated_atom_element_mismatch:old_atom=12:Z=7
8,case_002281,complex_crossdocked_000045,8,0,False,1,0,0,0,generated_atom_element_mismatch:old_atom=33:Z=9
8,case_000806,complex_crossdocked_000021,8,0,False,3,0,0,0,generated_atom_element_mismatch:old_atom=8:Z=15
8,case_002599,complex_diffsbdd_5ndu,0,0,False,0,0,0,0,returncode_1
8,case_002333,complex_crossdocked_000046,8,0,False,1,0,0,0,generated_atom_element_mismatch:old_atom=31:Z=8
8,case_001906,complex_crossdocked_000038,8,0,False,4,0,0,0,generated_atom_element_mismatch:old_atom=30:Z=8
8,case_000347,complex_crossdocked_000010,8,0,False,1,0,5,5,anchor_integrity
8,case_001730,complex_crossdocked_000035,8,0,False,2,0,0,0,generated_atom_element_mismatch:old_atom=32:Z=9
8,case_000509,complex_crossdocked_000015,8,1,True,1,0,3,3,generated_atom_element_mismatch:old_atom=11:Z=8
8,case_000670,complex_crossdocked_000018,8,0,False,4,0,0,0,generated_atom_element_mismatch:old_atom=32:Z=8
8,case_002131,complex_crossdocked_000043,8,0,False,3,0,1,1,generated_atom_element_mismatch:old_atom=13:Z=7
8,case_002029,complex_crossdocked_000041,8,0,False,6,0,1,1,generated_atom_element_mismatch:old_atom=13:Z=7
8,case_001527,complex_crossdocked_000031,8,0,False,2,0,0,0,generated_atom_element_mismatch:old_atom=30:Z=8
8,case_001457,complex_crossdocked_000030,8,0,False,6,0,0,0,generated_atom_element_mismatch:old_atom=9:Z=15
8,case_001316,complex_crossdocked_000026,8,0,False,0,0,1,1,generated_atom_element_mismatch:old_atom=22:Z=8
8,case_000707,complex_crossdocked_000019,8,0,False,3,0,0,0,generated_atom_element_mismatch:old_atom=23:Z=6
8,case_002282,complex_crossdocked_000045,8,0,False,3,0,0,0,generated_atom_element_mismatch:old_atom=33:Z=9
8,case_000041,complex_crossdocked_000002,8,1,True,1,0,2,2,generated_atom_element_mismatch:old_atom=11:Z=8
8,case_002226,complex_crossdocked_000044,8,0,False,3,0,0,0,generated_atom_element_mismatch:old_atom=31:Z=8
8,case_002003,complex_crossdocked_000040,8,0,False,3,0,0,0,generated_atom_element_mismatch:old_atom=32:Z=9
8,case_001300,complex_crossdocked_000026,8,1,True,1,0,3,3,generated_atom_element_mismatch:old_atom=11:Z=8
8,case_001702,complex_crossdocked_000035,8,1,True,4,0,1,1,generated_atom_element_mismatch:old_atom=16:Z=8
8,case_000818,complex_crossdocked_000021,8,0,False,4,0,0,0,generated_atom_element_mismatch:old_atom=12:Z=15
8,case_001961,complex_crossdocked_000039,8,0,False,4,0,0,0,generated_atom_element_mismatch:old_atom=30:Z=8
8,case_001648,complex_crossdocked_000034,8,0,False,2,0,1,1,generated_atom_element_mismatch:old_atom=17:Z=8
8,case_001055,complex_crossdocked_000023,8,0,False,4,0,0,0,generated_atom_element_mismatch:old_atom=22:Z=15
8,case_000552,complex_crossdocked_000016,8,3,True,4,0,4,4,generated_atom_element_mismatch:old_atom=11:Z=8
8,case_001483,complex_crossdocked_000031,8,0,False,2,0,2,2,generated_atom_element_mismatch:old_atom=12:Z=7
8,case_001536,complex_crossdocked_000032,8,0,False,1,0,0,0,generated_atom_element_mismatch:old_atom=12:Z=7
8,case_001270,complex_crossdocked_000025,8,0,False,2,0,0,0,generated_atom_element_mismatch:old_atom=27:Z=15
8,case_002056,complex_crossdocked_000041,8,0,False,4,0,0,0,generated_atom_element_mismatch:old_atom=33:Z=9
8,case_000109,complex_crossdocked_000004,8,2,True,2,0,4,4,generated_atom_element_mismatch:old_atom=11:Z=8
8,case_002134,complex_crossdocked_000043,8,0,False,3,0,0,0,generated_atom_element_mismatch:old_atom=13:Z=7
8,case_001810,complex_crossdocked_000037,8,0,False,5,0,1,1,generated_atom_element_mismatch:old_atom=13:Z=7
16,case_002080,complex_crossdocked_000042,16,0,False,6,0,0,0,generated_atom_element_mismatch:old_atom=13:Z=7
16,case_001704,complex_crossdocked_000035,16,0,False,5,0,0,0,generated_atom_element_mismatch:old_atom=12:Z=7
16,case_002011,complex_crossdocked_000040,16,0,False,5,0,0,0,generated_atom_element_mismatch:old_atom=30:Z=8
16,case_001971,complex_crossdocked_000040,16,0,False,7,0,1,1,generated_atom_element_mismatch:old_atom=12:Z=7
16,case_001571,complex_crossdocked_000032,16,0,False,7,0,0,0,generated_atom_element_mismatch:old_atom=32:Z=9
16,case_000721,complex_crossdocked_000019,16,0,False,4,0,0,0,generated_atom_element_mismatch:old_atom=32:Z=8
16,case_001593,complex_crossdocked_000033,16,0,False,7,0,0,0,generated_atom_element_mismatch:old_atom=12:Z=7
16,case_002281,complex_crossdocked_000045,16,0,False,5,0,2,2,generated_atom_element_mismatch:old_atom=33:Z=9
16,case_000806,complex_crossdocked_000021,16,0,False,6,0,0,0,generated_atom_element_mismatch:old_atom=8:Z=15
16,case_002599,complex_diffsbdd_5ndu,0,0,False,0,0,0,0,returncode_1
16,case_002333,complex_crossdocked_000046,16,0,False,5,0,0,0,generated_atom_element_mismatch:old_atom=31:Z=8
16,case_001906,complex_crossdocked_000038,16,0,False,4,0,0,0,generated_atom_element_mismatch:old_atom=32:Z=9
16,case_000347,complex_crossdocked_000010,16,2,True,6,0,9,9,anchor_integrity
16,case_001730,complex_crossdocked_000035,16,0,False,10,0,0,0,generated_atom_element_mismatch:old_atom=30:Z=8
16,case_000509,complex_crossdocked_000015,16,3,True,5,0,12,12,anchor_integrity
16,case_000670,complex_crossdocked_000018,16,0,False,1,0,0,0,generated_atom_element_mismatch:old_atom=33:Z=16
16,case_002131,complex_crossdocked_000043,16,0,False,8,0,0,0,generated_atom_element_mismatch:old_atom=13:Z=7
16,case_002029,complex_crossdocked_000041,16,0,False,6,0,0,0,generated_atom_element_mismatch:old_atom=13:Z=7
16,case_001527,complex_crossdocked_000031,16,0,False,1,0,1,1,generated_atom_element_mismatch:old_atom=30:Z=8
16,case_001457,complex_crossdocked_000030,16,0,False,8,0,0,0,generated_atom_element_mismatch:old_atom=9:Z=15
16,case_001316,complex_crossdocked_000026,16,0,False,2,0,5,5,generated_atom_element_mismatch:old_atom=22:Z=8
16,case_000707,complex_crossdocked_000019,16,0,False,8,0,0,2,generated_atom_element_mismatch:old_atom=23:Z=6
16,case_002282,complex_crossdocked_000045,16,0,False,5,0,1,1,generated_atom_element_mismatch:old_atom=33:Z=9
16,case_000041,complex_crossdocked_000002,16,1,True,2,0,7,7,generated_atom_element_mismatch:old_atom=11:Z=8
16,case_002226,complex_crossdocked_000044,16,0,False,4,0,0,0,generated_atom_element_mismatch:old_atom=31:Z=8
16,case_002003,complex_crossdocked_000040,16,0,False,5,0,0,0,generated_atom_element_mismatch:old_atom=32:Z=9
16,case_001300,complex_crossdocked_000026,16,2,True,7,0,6,7,generated_atom_element_mismatch:old_atom=11:Z=8
16,case_001702,complex_crossdocked_000035,16,0,False,8,0,0,0,generated_atom_element_mismatch:old_atom=16:Z=8
16,case_000818,complex_crossdocked_000021,16,0,False,7,0,0,0,generated_atom_element_mismatch:old_atom=12:Z=15
16,case_001961,complex_crossdocked_000039,16,0,False,9,0,0,0,generated_atom_element_mismatch:old_atom=32:Z=9
16,case_001648,complex_crossdocked_000034,16,0,False,7,0,0,0,generated_atom_element_mismatch:old_atom=13:Z=7
16,case_001055,complex_crossdocked_000023,16,0,False,2,0,0,0,generated_atom_element_mismatch:old_atom=22:Z=15
16,case_000552,complex_crossdocked_000016,16,2,True,4,0,8,8,generated_atom_element_mismatch:old_atom=11:Z=8
16,case_001483,complex_crossdocked_000031,16,0,False,7,0,0,1,generated_atom_element_mismatch:old_atom=12:Z=7
16,case_001536,complex_crossdocked_000032,16,0,False,3,0,0,0,generated_atom_element_mismatch:old_atom=12:Z=7
16,case_001270,complex_crossdocked_000025,16,0,False,7,0,0,0,generated_atom_element_mismatch:old_atom=27:Z=15
16,case_002056,complex_crossdocked_000041,16,0,False,4,0,0,0,generated_atom_element_mismatch:old_atom=31:Z=8
16,case_000109,complex_crossdocked_000004,16,3,True,6,0,8,9,generated_atom_element_mismatch:old_atom=11:Z=8
16,case_002134,complex_crossdocked_000043,16,1,True,8,0,1,1,generated_atom_element_mismatch:old_atom=13:Z=7
16,case_001810,complex_crossdocked_000037,16,0,False,6,0,0,0,generated_atom_element_mismatch:old_atom=13:Z=7
32,case_002080,complex_crossdocked_000042,32,0,False,15,0,2,2,generated_atom_element_mismatch:old_atom=13:Z=7
32,case_001704,complex_crossdocked_000035,32,0,False,12,0,0,0,generated_atom_element_mismatch:old_atom=12:Z=7
32,case_002011,complex_crossdocked_000040,32,0,False,13,0,0,0,generated_atom_element_mismatch:old_atom=32:Z=9
32,case_001971,complex_crossdocked_000040,32,0,False,12,0,1,2,generated_atom_element_mismatch:old_atom=12:Z=7
32,case_001571,complex_crossdocked_000032,32,0,False,14,0,1,1,generated_atom_element_mismatch:old_atom=32:Z=9
32,case_000721,complex_crossdocked_000019,32,0,False,14,0,0,0,generated_atom_element_mismatch:old_atom=32:Z=8
32,case_001593,complex_crossdocked_000033,32,0,False,16,0,1,1,generated_atom_element_mismatch:old_atom=12:Z=7
32,case_002281,complex_crossdocked_000045,32,0,False,11,0,0,0,generated_atom_element_mismatch:old_atom=33:Z=9
32,case_000806,complex_crossdocked_000021,32,0,False,11,0,0,0,generated_atom_element_mismatch:old_atom=8:Z=15
32,case_002599,complex_diffsbdd_5ndu,0,0,False,0,0,0,0,returncode_1
32,case_002333,complex_crossdocked_000046,32,0,False,13,0,0,0,generated_atom_element_mismatch:old_atom=33:Z=9
32,case_001906,complex_crossdocked_000038,32,0,False,11,0,1,1,generated_atom_element_mismatch:old_atom=32:Z=9
32,case_000347,complex_crossdocked_000010,32,1,True,2,0,15,15,anchor_integrity
32,case_001730,complex_crossdocked_000035,32,0,False,10,0,1,1,generated_atom_element_mismatch:old_atom=32:Z=9
32,case_000509,complex_crossdocked_000015,32,3,True,10,0,9,10,generated_atom_element_mismatch:old_atom=11:Z=8
32,case_000670,complex_crossdocked_000018,32,0,False,10,0,0,1,generated_atom_element_mismatch:old_atom=32:Z=8
32,case_002131,complex_crossdocked_000043,32,0,False,12,0,1,1,generated_atom_element_mismatch:old_atom=13:Z=7
32,case_002029,complex_crossdocked_000041,32,0,False,17,0,0,0,generated_atom_element_mismatch:old_atom=13:Z=7
32,case_001527,complex_crossdocked_000031,32,0,False,13,0,0,1,generated_atom_element_mismatch:old_atom=32:Z=9
32,case_001457,complex_crossdocked_000030,32,0,False,17,0,0,0,generated_atom_element_mismatch:old_atom=9:Z=15
32,case_001316,complex_crossdocked_000026,32,2,True,6,0,7,7,generated_atom_element_mismatch:old_atom=22:Z=8
32,case_000707,complex_crossdocked_000019,32,0,False,10,0,0,0,generated_atom_element_mismatch:old_atom=22:Z=6
32,case_002282,complex_crossdocked_000045,32,0,False,13,0,0,0,generated_atom_element_mismatch:old_atom=33:Z=9
32,case_000041,complex_crossdocked_000002,32,3,True,7,0,15,17,anchor_integrity
32,case_002226,complex_crossdocked_000044,32,1,True,11,0,2,2,generated_atom_element_mismatch:old_atom=33:Z=9
32,case_002003,complex_crossdocked_000040,32,0,False,8,0,1,1,generated_atom_element_mismatch:old_atom=30:Z=8
32,case_001300,complex_crossdocked_000026,32,6,True,12,0,15,15,generated_atom_element_mismatch:old_atom=11:Z=8
32,case_001702,complex_crossdocked_000035,32,0,False,10,0,1,1,generated_atom_element_mismatch:old_atom=12:Z=7
32,case_000818,complex_crossdocked_000021,32,0,False,11,0,0,0,generated_atom_element_mismatch:old_atom=12:Z=15
32,case_001961,complex_crossdocked_000039,32,0,False,16,0,0,0,generated_atom_element_mismatch:old_atom=32:Z=9
32,case_001648,complex_crossdocked_000034,32,1,True,14,0,3,3,generated_atom_element_mismatch:old_atom=13:Z=7
32,case_001055,complex_crossdocked_000023,32,0,False,18,0,0,0,generated_atom_element_mismatch:old_atom=22:Z=15
32,case_000552,complex_crossdocked_000016,32,3,True,9,0,12,12,generated_atom_element_mismatch:old_atom=11:Z=8
32,case_001483,complex_crossdocked_000031,32,0,False,15,0,0,0,generated_atom_element_mismatch:old_atom=12:Z=7
32,case_001536,complex_crossdocked_000032,32,0,False,12,0,0,0,generated_atom_element_mismatch:old_atom=12:Z=7
32,case_001270,complex_crossdocked_000025,32,1,True,15,0,1,1,generated_atom_element_mismatch:old_atom=27:Z=15
32,case_002056,complex_crossdocked_000041,32,0,False,12,0,0,0,generated_atom_element_mismatch:old_atom=33:Z=9
32,case_000109,complex_crossdocked_000004,32,3,True,7,0,15,15,anchor_integrity
32,case_002134,complex_crossdocked_000043,32,0,False,13,0,0,0,generated_atom_element_mismatch:old_atom=13:Z=7
32,case_001810,complex_crossdocked_000037,32,0,False,9,0,0,0,generated_atom_element_mismatch:old_atom=13:Z=7
