visual_case_id,backend_name,backend_unit,case_id,base_sample_id,attempt_id,candidate_id,candidate_index,candidate_path,candidate_readable,ligand_valid,fixed_structure_match_success,topology_mappable_to_original_atom_order,anchor_integrity,keep_region_rmsd,keep_region_stable,old_clash_score_before,old_clash_score_after,old_clash_resolved,no_new_severe_clash,new_severe_clash_count,scaffold_rmsd,scaffold_stable,non_edit_rmsd,non_edit_stable,coordinate_valid,geometry_valid,edit_compliance,pocket_retention,repair_pass,reliable_repair_success,reliable_repair_criteria_json,failure_stage,failure_reason,verifier_failure_reasons,old_pair_remaining_count,old_severe_pair_remaining_count,new_severe_pair_created_count,receptor_scope_old,receptor_scope_new,old_report_scope_input,candidate_atom_count,phase4_0_1_mode,candidate_budget_k,center,cuda_visible_devices,fragment_diagnostics_status,fragment_diagnostics_reason,fixed_structure_mapping_success_for_diagnostics,fixed_structure_mapping_reason,fixed_structure_mapping_rmsd,target_mask_heavy_atom_count,generated_fragment_heavy_atom_count,generated_fragment_size_diff,generated_atom_indices_json,target_mask_elements,generated_fragment_elements,generated_element_mismatch_count,generated_size_status,candidate_total_fragment_count,candidate_single_fragment,candidate_extra_fragment_count,anchor_candidate_idx,anchor_match_success,generated_fragment_connected_to_anchor,generated_fragment_attachment_count,anchor_bond_like_distance,anchor_reconnect_status,anchor_reconnect_reason,local_reconnect_pass,local_reconnect_failure_reason,num_generated_components,num_anchor_neighbors,num_extra_attachments,floating_fragment_detected,anchor_aware_filter_pass,anchor_aware_filter_reason,source_group,reconnect_category,reconnect_category_reason,strict_single_anchor_shadow_reliable,local_reconnect_original_preserved,sampling_group,sampling_reason,duplicate_of,fallback_reason,needs_user_review,manual_visual_label,manual_visual_confidence,manual_notes,safe_candidate_id,case_dir,clash_contact_sheet_path,anchor_topology_contact_sheet_path,before_after_overlay_contact_sheet_path,camera_quality_clash,camera_retry_count_clash,camera_quality_anchor_topology,camera_retry_count_anchor_topology,camera_quality_before_after_overlay,camera_retry_count_before_after_overlay,camera_adjustment_notes,final_camera_selection_status
vqc_001,diffsbdd_conditional_inpainting,crossdocked_fullatom_conditional_local_completion,case_000041,complex_crossdocked_000002,diffsbdd_conditional_inpainting:pocket:case_000041,diffsbdd_conditional_inpainting:pocket:case_000041:003,3,/home/lyj/mnt/project/clash2feedback_gc/runs/phase4_0_1_diffsbdd_conditional_repair/k8/diffsbdd_inpainting/case_000041/diffsbdd_pocket_candidate_003.sdf,True,True,True,True,True,0.0480958656303113,True,0.2872955031435253,0.0,True,True,0.0,0.0503755658864975,True,0.0480958670377731,True,True,True,True,True,True,True,"{""anchor_integrity"": true, ""candidate_readable"": true, ""edit_compliance"": true, ""fixed_structure_match_success"": true, ""keep_region_stable"": true, ""ligand_valid"": true, ""no_new_severe_clash"": true, ""old_clash_resolved"": true, ""pocket_retention"": true, ""scaffold_stable"": true}",,,,0.0,0.0,0.0,phase0_pocket8,pocket10_all_atoms,pocket10_all_atoms,23.0,formal,8,pocket,1.0,ok,,True,,0.0480958656303113,2,2,0,"[9, 10]","[""C"", ""O""]","[""C"", ""O""]",0,matched,1,True,0,18,True,True,2,1.4584884643554688,fail,extra_attachments=1,False,extra_attachments=1,1,1,1,False,False,extra_attachments=1,diffsbdd_candidates,multi_attachment_out_of_scope,extra_attachments=1,False,False,diffsbdd_reliable_strict_shadow_fail,original reliable_repair_success=True but strict_single_anchor_shadow_reliable=False,,,False,looks_multi_attachment,high,"anchor_topology 和 overlay 中可见 generated fragment 在 anchor 附近存在额外连接, 支持 multi_attachment_out_of_scope, 也解释原 reliable 但 strict single-anchor shadow fail.",diffsbdd_conditional_inpainting_pocket_case_000041_003,/home/lyj/mnt/project/clash2feedback_gc/runs/phase4_0_1a_visual_qc/case_000041/diffsbdd_conditional_inpainting_pocket_case_000041_003,/home/lyj/mnt/project/clash2feedback_gc/runs/phase4_0_1a_visual_qc/case_000041/diffsbdd_conditional_inpainting_pocket_case_000041_003/images/reconnect_clash_contact_sheet.png,/home/lyj/mnt/project/clash2feedback_gc/runs/phase4_0_1a_visual_qc/case_000041/diffsbdd_conditional_inpainting_pocket_case_000041_003/images/reconnect_anchor_topology_contact_sheet.png,/home/lyj/mnt/project/clash2feedback_gc/runs/phase4_0_1a_visual_qc/case_000041/diffsbdd_conditional_inpainting_pocket_case_000041_003/images/reconnect_before_after_overlay_contact_sheet.png,camera_quality_good,0,camera_quality_good,0,camera_quality_good,0,first_pass_clear_view_selection,first_pass
vqc_002,diffsbdd_conditional_inpainting,crossdocked_fullatom_conditional_local_completion,case_000109,complex_crossdocked_000004,diffsbdd_conditional_inpainting:pocket:case_000109,diffsbdd_conditional_inpainting:pocket:case_000109:002,2,/home/lyj/mnt/project/clash2feedback_gc/runs/phase4_0_1_diffsbdd_conditional_repair/k16/diffsbdd_inpainting/case_000109/diffsbdd_pocket_candidate_002.sdf,True,True,True,True,True,0.0521130579241395,True,0.4189277506577582,0.0,True,True,0.0,0.0454649589955806,True,0.0521130561828613,True,True,True,True,True,True,True,"{""anchor_integrity"": true, ""candidate_readable"": true, ""edit_compliance"": true, ""fixed_structure_match_success"": true, ""keep_region_stable"": true, ""ligand_valid"": true, ""no_new_severe_clash"": true, ""old_clash_resolved"": true, ""pocket_retention"": true, ""scaffold_stable"": true}",,,,0.0,0.0,0.0,phase0_pocket8,pocket10_all_atoms,pocket10_all_atoms,23.0,formal,16,pocket,1.0,ok,,True,,0.0521130579241395,2,2,0,"[9, 10]","[""C"", ""O""]","[""O"", ""C""]",0,matched,1,True,0,22,True,True,3,1.120070219039917,fail,extra_attachments=2,False,extra_attachments=2,1,1,2,False,False,extra_attachments=2,diffsbdd_candidates,multi_attachment_out_of_scope,extra_attachments=2,False,False,diffsbdd_reliable_strict_shadow_fail,original reliable_repair_success=True but strict_single_anchor_shadow_reliable=False,,,False,looks_multi_attachment,high,"anchor 附近可见多条 attachment-like 连接, 与 extra_attachments=2 一致, 支持 strict single-anchor shadow fail.",diffsbdd_conditional_inpainting_pocket_case_000109_002,/home/lyj/mnt/project/clash2feedback_gc/runs/phase4_0_1a_visual_qc/case_000109/diffsbdd_conditional_inpainting_pocket_case_000109_002,/home/lyj/mnt/project/clash2feedback_gc/runs/phase4_0_1a_visual_qc/case_000109/diffsbdd_conditional_inpainting_pocket_case_000109_002/images/reconnect_clash_contact_sheet.png,/home/lyj/mnt/project/clash2feedback_gc/runs/phase4_0_1a_visual_qc/case_000109/diffsbdd_conditional_inpainting_pocket_case_000109_002/images/reconnect_anchor_topology_contact_sheet.png,/home/lyj/mnt/project/clash2feedback_gc/runs/phase4_0_1a_visual_qc/case_000109/diffsbdd_conditional_inpainting_pocket_case_000109_002/images/reconnect_before_after_overlay_contact_sheet.png,camera_quality_good,0,camera_quality_good,0,camera_quality_good,0,first_pass_clear_view_selection,first_pass
vqc_003,diffsbdd_conditional_inpainting,crossdocked_fullatom_conditional_local_completion,case_000552,complex_crossdocked_000016,diffsbdd_conditional_inpainting:pocket:case_000552,diffsbdd_conditional_inpainting:pocket:case_000552:032,32,/home/lyj/mnt/project/clash2feedback_gc/runs/phase4_0_1_diffsbdd_conditional_repair/k32/diffsbdd_inpainting/case_000552/diffsbdd_pocket_candidate_032.sdf,True,True,True,True,True,0.0497650714611101,True,0.2076424270571806,0.0,True,True,0.0,0.0510100163519382,True,0.0497650690376758,True,True,True,True,True,True,True,"{""anchor_integrity"": true, ""candidate_readable"": true, ""edit_compliance"": true, ""fixed_structure_match_success"": true, ""keep_region_stable"": true, ""ligand_valid"": true, ""no_new_severe_clash"": true, ""old_clash_resolved"": true, ""pocket_retention"": true, ""scaffold_stable"": true}",,,,0.0,0.0,0.0,phase0_pocket8,pocket10_all_atoms,pocket10_all_atoms,23.0,formal,32,pocket,0.0,ok,,True,,0.0497650714611101,2,2,0,"[0, 1]","[""C"", ""O""]","[""O"", ""C""]",0,matched,1,True,0,17,True,True,1,1.536097526550293,fail,anchor_neighbor_count=2,False,anchor_neighbor_count=2,1,2,0,False,False,anchor_neighbor_count=2,diffsbdd_candidates,multi_attachment_out_of_scope,anchor_neighbor_count=2,False,False,diffsbdd_reliable_strict_shadow_fail,original reliable_repair_success=True but strict_single_anchor_shadow_reliable=False,,,False,looks_multi_attachment,medium,"anchor_topology 和 overlay 显示 anchor 邻域存在两个 attachment-like 邻接; 按更新后的 reconnect 优先级, num_anchor_neighbors > 1 归为 multi_attachment_out_of_scope, reason 保留 anchor_neighbor_count=2.",diffsbdd_conditional_inpainting_pocket_case_000552_032,/home/lyj/mnt/project/clash2feedback_gc/runs/phase4_0_1a_visual_qc/case_000552/diffsbdd_conditional_inpainting_pocket_case_000552_032,/home/lyj/mnt/project/clash2feedback_gc/runs/phase4_0_1a_visual_qc/case_000552/diffsbdd_conditional_inpainting_pocket_case_000552_032/images/reconnect_clash_contact_sheet.png,/home/lyj/mnt/project/clash2feedback_gc/runs/phase4_0_1a_visual_qc/case_000552/diffsbdd_conditional_inpainting_pocket_case_000552_032/images/reconnect_anchor_topology_contact_sheet.png,/home/lyj/mnt/project/clash2feedback_gc/runs/phase4_0_1a_visual_qc/case_000552/diffsbdd_conditional_inpainting_pocket_case_000552_032/images/reconnect_before_after_overlay_contact_sheet.png,camera_quality_good,0,camera_quality_good,0,camera_quality_good,0,first_pass_clear_view_selection,first_pass
vqc_004,diffsbdd_conditional_inpainting,crossdocked_fullatom_conditional_local_completion,case_001704,complex_crossdocked_000035,diffsbdd_conditional_inpainting:pocket:case_001704,diffsbdd_conditional_inpainting:pocket:case_001704:003,3,/home/lyj/mnt/project/clash2feedback_gc/runs/phase4_0_1_diffsbdd_conditional_repair/k8/diffsbdd_inpainting/case_001704/diffsbdd_pocket_candidate_003.sdf,True,True,True,True,True,0.0582481224353672,True,0.4547428090159542,0.0348587099898054,True,True,0.0,0.056674662977457,True,0.058248121291399,True,True,True,True,True,True,True,"{""anchor_integrity"": true, ""candidate_readable"": true, ""edit_compliance"": true, ""fixed_structure_match_success"": true, ""keep_region_stable"": true, ""ligand_valid"": true, ""no_new_severe_clash"": true, ""old_clash_resolved"": true, ""pocket_retention"": true, ""scaffold_stable"": true}",,,,0.0,0.0,0.0,phase0_pocket8,pocket10_all_atoms,pocket10_all_atoms,34.0,formal,8,pocket,1.0,ok,,True,,0.0582481224353672,7,7,0,"[10, 11, 12, 13, 14, 15, 16]","[""N"", ""C"", ""O"", ""C"", ""O"", ""C"", ""C""]","[""C"", ""O"", ""C"", ""C"", ""C"", ""N"", ""O""]",0,matched,1,True,0,20,True,True,11,1.5130414962768557,fail,extra_attachments=10,False,extra_attachments=10,1,1,10,False,False,extra_attachments=10,diffsbdd_candidates,multi_attachment_out_of_scope,extra_attachments=10,False,False,diffsbdd_reliable_strict_shadow_fail,original reliable_repair_success=True but strict_single_anchor_shadow_reliable=False,,,False,looks_possible_linker_or_bridge,high,"generated fragment 呈多连接/桥接式拓扑, 与 extra_attachments=10 一致, 明显超出 single-anchor R-group repair 范围.",diffsbdd_conditional_inpainting_pocket_case_001704_003,/home/lyj/mnt/project/clash2feedback_gc/runs/phase4_0_1a_visual_qc/case_001704/diffsbdd_conditional_inpainting_pocket_case_001704_003,/home/lyj/mnt/project/clash2feedback_gc/runs/phase4_0_1a_visual_qc/case_001704/diffsbdd_conditional_inpainting_pocket_case_001704_003/images/reconnect_clash_contact_sheet.png,/home/lyj/mnt/project/clash2feedback_gc/runs/phase4_0_1a_visual_qc/case_001704/diffsbdd_conditional_inpainting_pocket_case_001704_003/images/reconnect_anchor_topology_contact_sheet.png,/home/lyj/mnt/project/clash2feedback_gc/runs/phase4_0_1a_visual_qc/case_001704/diffsbdd_conditional_inpainting_pocket_case_001704_003/images/reconnect_before_after_overlay_contact_sheet.png,camera_quality_good,0,camera_quality_good,0,camera_quality_good,0,first_pass_clear_view_selection,first_pass
vqc_005,diffsbdd_conditional_inpainting,crossdocked_fullatom_conditional_local_completion,case_001702,complex_crossdocked_000035,diffsbdd_conditional_inpainting:pocket:case_001702,diffsbdd_conditional_inpainting:pocket:case_001702:002,2,/home/lyj/mnt/project/clash2feedback_gc/runs/phase4_0_1_diffsbdd_conditional_repair/k8/diffsbdd_inpainting/case_001702/diffsbdd_pocket_candidate_002.sdf,True,True,True,True,True,0.0572389199267044,True,0.6321037021278357,0.0,True,True,0.0,0.059822030365467,True,0.0572389215230941,True,True,True,True,True,True,True,"{""anchor_integrity"": true, ""candidate_readable"": true, ""edit_compliance"": true, ""fixed_structure_match_success"": true, ""keep_region_stable"": true, ""ligand_valid"": true, ""no_new_severe_clash"": true, ""old_clash_resolved"": true, ""pocket_retention"": true, ""scaffold_stable"": true}",,,,0.0,0.0,0.0,phase0_pocket8,pocket10_all_atoms,pocket10_all_atoms,34.0,formal,8,pocket,1.0,ok,,True,,0.0572389199267044,7,7,0,"[9, 10, 11, 12, 13, 14, 15]","[""N"", ""C"", ""O"", ""C"", ""O"", ""C"", ""C""]","[""O"", ""C"", ""O"", ""N"", ""C"", ""C"", ""C""]",0,matched,2,False,1,20,True,True,5,1.540877342224121,fail,extra_attachments=4,False,extra_attachments=4,2,1,4,False,False,candidate_not_single_fragment,diffsbdd_candidates,invalid_reconnect,candidate_fragment_count=2,False,False,diffsbdd_reliable_strict_shadow_fail,original reliable_repair_success=True but strict_single_anchor_shadow_reliable=False,,,False,looks_multi_attachment,high,"anchor_topology 中可见多个 generated attachment 位点, 但 RDKit fragment count 显示 candidate_total_fragment_count=2; 按更新后的优先级, 多片段候选优先归为 invalid_reconnect, 视觉标签保留 multi-attachment 观察特征.",diffsbdd_conditional_inpainting_pocket_case_001702_002,/home/lyj/mnt/project/clash2feedback_gc/runs/phase4_0_1a_visual_qc/case_001702/diffsbdd_conditional_inpainting_pocket_case_001702_002,/home/lyj/mnt/project/clash2feedback_gc/runs/phase4_0_1a_visual_qc/case_001702/diffsbdd_conditional_inpainting_pocket_case_001702_002/images/reconnect_clash_contact_sheet.png,/home/lyj/mnt/project/clash2feedback_gc/runs/phase4_0_1a_visual_qc/case_001702/diffsbdd_conditional_inpainting_pocket_case_001702_002/images/reconnect_anchor_topology_contact_sheet.png,/home/lyj/mnt/project/clash2feedback_gc/runs/phase4_0_1a_visual_qc/case_001702/diffsbdd_conditional_inpainting_pocket_case_001702_002/images/reconnect_before_after_overlay_contact_sheet.png,camera_quality_good,0,camera_quality_good,0,camera_quality_good,0,first_pass_clear_view_selection,first_pass
vqc_006,diffsbdd_conditional_inpainting,crossdocked_fullatom_conditional_local_completion,case_001300,complex_crossdocked_000026,diffsbdd_conditional_inpainting:pocket:case_001300,diffsbdd_conditional_inpainting:pocket:case_001300:006,6,/home/lyj/mnt/project/clash2feedback_gc/runs/phase4_0_1_diffsbdd_conditional_repair/k16/diffsbdd_inpainting/case_001300/diffsbdd_pocket_candidate_006.sdf,True,True,True,True,True,0.050586211304241,True,0.1623868033516942,0.0,True,True,0.0,0.0455059148371219,True,0.050586212426424,True,True,True,True,True,True,True,"{""anchor_integrity"": true, ""candidate_readable"": true, ""edit_compliance"": true, ""fixed_structure_match_success"": true, ""keep_region_stable"": true, ""ligand_valid"": true, ""no_new_severe_clash"": true, ""old_clash_resolved"": true, ""pocket_retention"": true, ""scaffold_stable"": true}",,,,0.0,0.0,0.0,phase0_pocket8,pocket10_all_atoms,pocket10_all_atoms,23.0,formal,16,pocket,0.0,ok,,True,,0.050586211304241,2,2,0,"[1, 2]","[""C"", ""O""]","[""C"", ""O""]",0,matched,1,True,0,22,True,True,4,1.5552265644073486,fail,extra_attachments=3,False,extra_attachments=3,1,1,3,False,False,extra_attachments=3,diffsbdd_candidates,multi_attachment_out_of_scope,extra_attachments=3,False,False,diffsbdd_reliable_strict_shadow_fail,original reliable_repair_success=True but strict_single_anchor_shadow_reliable=False,,,False,looks_possible_linker_or_bridge,high,"overlay 中局部结构呈桥接或 ring-closure 式偏离, 与 extra_attachments=3 一致, 支持 strict shadow fail.",diffsbdd_conditional_inpainting_pocket_case_001300_006,/home/lyj/mnt/project/clash2feedback_gc/runs/phase4_0_1a_visual_qc/case_001300/diffsbdd_conditional_inpainting_pocket_case_001300_006,/home/lyj/mnt/project/clash2feedback_gc/runs/phase4_0_1a_visual_qc/case_001300/diffsbdd_conditional_inpainting_pocket_case_001300_006/images/reconnect_clash_contact_sheet.png,/home/lyj/mnt/project/clash2feedback_gc/runs/phase4_0_1a_visual_qc/case_001300/diffsbdd_conditional_inpainting_pocket_case_001300_006/images/reconnect_anchor_topology_contact_sheet.png,/home/lyj/mnt/project/clash2feedback_gc/runs/phase4_0_1a_visual_qc/case_001300/diffsbdd_conditional_inpainting_pocket_case_001300_006/images/reconnect_before_after_overlay_contact_sheet.png,camera_quality_good,0,camera_quality_good,0,camera_quality_good,0,first_pass_clear_view_selection,first_pass
vqc_007,diffsbdd_conditional_inpainting,crossdocked_fullatom_conditional_local_completion,case_002134,complex_crossdocked_000043,diffsbdd_conditional_inpainting:pocket:case_002134,diffsbdd_conditional_inpainting:pocket:case_002134:014,14,/home/lyj/mnt/project/clash2feedback_gc/runs/phase4_0_1_diffsbdd_conditional_repair/k16/diffsbdd_inpainting/case_002134/diffsbdd_pocket_candidate_014.sdf,True,True,True,True,True,0.0543658276000951,True,1.031630229968016,0.0995103275054134,True,True,0.0,0.0528755597770214,True,0.0543658286333084,True,True,True,True,True,True,True,"{""anchor_integrity"": true, ""candidate_readable"": true, ""edit_compliance"": true, ""fixed_structure_match_success"": true, ""keep_region_stable"": true, ""ligand_valid"": true, ""no_new_severe_clash"": true, ""old_clash_resolved"": true, ""pocket_retention"": true, ""scaffold_stable"": true}",,,,0.0,0.0,0.0,phase0_pocket8,pocket10_all_atoms,pocket10_all_atoms,35.0,formal,16,pocket,0.0,ok,,True,,0.0543658276000951,7,7,0,"[9, 10, 11, 12, 13, 14, 15]","[""N"", ""C"", ""O"", ""C"", ""O"", ""C"", ""C""]","[""O"", ""C"", ""C"", ""N"", ""C"", ""O"", ""C""]",0,matched,2,False,1,21,True,True,10,1.4153591394424438,fail,floating_fragment,False,floating_fragment,2,1,9,True,False,candidate_not_single_fragment,diffsbdd_candidates,invalid_reconnect,candidate_fragment_count=2,False,False,diffsbdd_reliable_strict_shadow_fail,original reliable_repair_success=True but strict_single_anchor_shadow_reliable=False,,,False,looks_floating_fragment,high,"anchor_topology 和 overlay 中可见与 anchor 主结构分离的 generated/floating 标记, 与 floating_fragment 诊断一致.",diffsbdd_conditional_inpainting_pocket_case_002134_014,/home/lyj/mnt/project/clash2feedback_gc/runs/phase4_0_1a_visual_qc/case_002134/diffsbdd_conditional_inpainting_pocket_case_002134_014,/home/lyj/mnt/project/clash2feedback_gc/runs/phase4_0_1a_visual_qc/case_002134/diffsbdd_conditional_inpainting_pocket_case_002134_014/images/reconnect_clash_contact_sheet.png,/home/lyj/mnt/project/clash2feedback_gc/runs/phase4_0_1a_visual_qc/case_002134/diffsbdd_conditional_inpainting_pocket_case_002134_014/images/reconnect_anchor_topology_contact_sheet.png,/home/lyj/mnt/project/clash2feedback_gc/runs/phase4_0_1a_visual_qc/case_002134/diffsbdd_conditional_inpainting_pocket_case_002134_014/images/reconnect_before_after_overlay_contact_sheet.png,camera_quality_good,0,camera_quality_good,0,camera_quality_good,0,first_pass_clear_view_selection,first_pass
